"Dataset","Sensitivity","Specificity","PPV","NPV","Brier_Score","AUROC"
"Dataset2---Internal Testing","0.914 (0.803-0.968)","0.848 (0.774-0.901)","0.716 (0.598-0.812)","0.959 (0.902-0.985)","0.133 (0.087-0.184)","0.881 (0.834-0.928)"
"Dataset3---Multicenter","0.778 (0.519-0.926)","0.962 (0.885-0.990)","0.824 (0.558-0.953)","0.950 (0.870-0.984)","0.072 (0.021-0.134)","0.870 (0.769-0.971)"
"Dataset5---Proof-of-concept","0.947 (0.719-0.997)","0.974 (0.931-0.992)","0.818 (0.590-0.940)","0.993 (0.958-1.000)","0.029 (0.006-0.057)","0.961 (0.908-1.000)"
"Dataset4---TCGA cohort","1.000 (0.463-1.000)","0.972 (0.936-0.988)","0.455 (0.181-0.754)","1.000 (0.977-1.000)","0.028 (0.009-0.051)","0.986 (0.975-0.997)"
"Overall Dataset","0.900 (0.820-0.948)","0.942 (0.919-0.959)","0.726 (0.637-0.800)","0.982 (0.966-0.991)","0.064 (0.047-0.085)","0.921 (0.890-0.952)"
