true_labels,40X,20X-equivalent
1,0.9999,0.404804972
1,0.9999,0.868795863
1,0.9999,0.891138338
1,0.9999,0.893067334
1,0.976209797,0.757007166
1,0.936071365,0.848598494
1,0.9260279,0.74340359
1,0.922226158,0.846628459
1,0.885025354,0.951000284
1,0.860556746,0.95559887
1,0.827100297,0.738225725
0,0.30594669,0.247307538
1,0.812178209,0.918529271
0,0.522321877,0.275505198
0,0.074403994,0.279351069
1,0.801168003,0.898098632
1,0.783640107,0.815081343
1,0.783016687,0.966637434
1,0.774148333,0.843563086
0,0.106088546,0.284906393
0,0.157816101,0.295252776
0,0.611823956,0.307030476
0,0.166474691,0.307159948
0,0.081764871,0.313437379
1,0.765442085,0.575506771
1,0.753380337,0.769390165
0,0.239514296,0.322768599
0,0.104147553,0.325225856
0,0.045804747,0.326318867
0,0.039460261,0.328820739
0,0.498612529,0.334683402
1,0.740958671,0.821297479
0,0.111789556,0.338722004
0,0.254566443,0.34291728
0,0.123289024,0.34629661
0,0.569249837,0.350174402
0,0.01,0.352880958
0,0.052679982,0.355439014
0,0.01,0.366332788
0,0.01,0.372531926
0,0.092667513,0.376105105
0,0.021629733,0.378599512
0,0.01,0.389811253
0,0.052142725,0.39213872
0,0.56696943,0.392302441
0,0.022275591,0.395356471
0,0.568415595,0.395891617
0,0.130585403,0.398950145
0,0.056689706,0.399066665
0,0.083934432,0.405999195
0,0.592455737,0.407284054
0,0.075141905,0.417193032
0,0.520145507,0.429451935
0,0.626756974,0.429500765
1,0.732647335,0.61787686
1,0.724115261,0.940028392
1,0.707848663,0.643295691
1,0.688110426,0.679801279
1,0.683988751,0.804980944
1,0.666976965,0.765325634
1,0.661950638,0.697673046
1,0.654394315,0.787403594
1,0.632696281,0.690878355
1,0.57441053,0.869207516
1,0.167333876,0.98110998
0,0.600635627,0.430874861
0,0.155205936,0.437785623
0,0.10895071,0.441307527
0,0.22295483,0.445197276
0,0.073261855,0.451617084
0,0.094775663,0.456383412
0,0.660720491,0.46376971
0,0.107828631,0.469549184
0,0.684684489,0.478322067
0,0.602495617,0.486987945
0,0.70360593,0.497094635
0,0.085723161,0.51188812
0,0.040285907,0.528316606
0,0.24728229,0.538838484
0,0.123374294,0.540719239
0,0.084619042,0.540865855
0,0.071085452,0.552914664
0,0.236625086,0.562201452
0,0.0448377,0.569925129
0,0.281931898,0.573271731
0,0.204909984,0.578914894
0,0.025105976,0.588113273
0,0.650236481,0.617484552
0,0.049596443,0.621005042
0,0.148405489,0.638174291
0,0.161161959,0.664306657
0,0.048135668,0.697955072
0,0.049205492,0.722073446
0,0.094681942,0.727216778
0,0.581938649,0.750036175
0,0.199439077,0.751399043
0,0.054127387,0.779638552
0,0.293778288,0.846359129
0,0.101609329,0.849818479
0,0.114688046,0.946690371
